Spark creation time,Data read time,Query time,Number of executors
25.530526876449585,23.164562702178955,0.34711289405822754,2
26.650609731674194,22.64539337158203,0.3738861083984375,3
27.43929672241211,21.779590606689453,0.4622981548309326,4
22.406110286712646,21.702068567276,0.357128381729126,2
24.9914608001709,22.408745288848877,0.36153435707092285,3
25.52106523513794,22.259892225265503,0.45876550674438477,4
26.451923370361328,23.08195447921753,0.357957124710083,2
26.801674604415894,22.959155797958374,0.3736705780029297,3
31.70609736442566,22.321021795272827,0.36906886100769043,4
25.435343980789185,24.966314792633057,0.3691263198852539,2
26.46100115776062,22.44067645072937,0.45142626762390137,3
32.33628869056702,22.96476149559021,0.3424842357635498,4
25.352874755859375,25.532391786575317,0.37487173080444336,2
27.47767949104309,22.806382179260254,0.45421552658081055,3
32.45620059967041,23.219624996185303,0.35117244720458984,4
