DIVISION|average_distance|crime_count
77TH STREET|1.7215559668318008|13489
SOUTHEAST|2.1955986195059825|11816
SOUTHWEST|2.279343343133375|11209
NEWTON|1.5693029438285195|7161
WILSHIRE|2.4446505649478225|6253
HOLLENBECK|2.636843036493343|6174
OLYMPIC|1.665470250718678|5415
HOLLYWOOD|2.0086559103864285|5378
HARBOR|3.8982379354204326|5322
RAMPART|1.3978586849187002|4700
FOOTHILL|3.6003578272454986|4693
VAN NUYS|2.9734701269529067|4673
CENTRAL|1.017698301999662|3584
NORTH HOLLYWOOD|2.745580642931433|3389
NORTHEAST|3.7555638718187887|3096
MISSION|3.806759164814483|2853
WEST VALLEY|2.7933743074835|2755
PACIFIC|3.7014554679410585|2522
TOPANGA|3.0519644506900643|2435
DEVONSHIRE|2.9846027225677347|1332
WEST LOS ANGELES|2.768471576203468|1014
