nearest_place|crime_count|average_distance
77TH STREET|16567|2.697221022730226
SOUTHEAST|12917|2.1027902716277453
NEWTON|9617|2.0146354569413476
SOUTHWEST|8641|2.699419915321537
HOLLENBECK|6113|2.6491807867280888
HARBOR|5444|4.08369941390368
RAMPART|4998|1.578602693862525
MISSION|4463|4.71750031436258
OLYMPIC|4336|1.833579483721724
FOOTHILL|3943|3.803698582865336
NORTHEAST|3848|3.905631374560966
HOLLYWOOD|3560|1.454911784758709
CENTRAL|3485|1.1352127099684708
WILSHIRE|3428|2.3208496365459346
NORTH HOLLYWOOD|3394|2.719621897901707
WEST VALLEY|2789|3.525605238376684
VAN NUYS|2649|2.2148398439548074
PACIFIC|2646|3.732975873043782
DEVONSHIRE|2602|4.019167427465698
TOPANGA|2313|3.4792441420192675
WEST LOS ANGELES|1510|4.263889486464344
